SK_Customer,count_transaction,schedule_service,count_items,total_spend,total_credit,total_vol,total_weight,scheduled_price,Service_Code_Unit_of_Measure_ADJ,Service_Code_Unit_of_Measure_EA,Service_Code_Unit_of_Measure_HR,Service_Code_Unit_of_Measure_KG,Service_Code_Unit_of_Measure_KLT,Service_Code_Unit_of_Measure_LTR,Service_Code_Unit_of_Measure_M3,Service_Code_Unit_of_Measure_TON,Service_Lift_Type_Front Lift,Service_Lift_Type_RORO,Service_Lift_Type_Rear Lift,Service_Waste_Stream_Co-Mingle,Service_Waste_Stream_General Waste,Service_Waste_Stream_Organic,Service_Waste_Stream_Recycling,Activity_Name_C&I,Activity_Name_Liquid,Activity_Name_Rebate,Activity_Name_Sale of Other,month_count,recency,weight_per_unit,Frequency_per_month,Spend_per_month,ATV,UPT,ASP,AWT,AVT,WPF_Flag,LPF_Flag,OCF_Flag,PIF_Flag,Payment_Terms,EVF_Flag,Weekend_Surcharge_Flag,Paper_Invoice_Billing_Cycle_Flag,Is_Contracted,Is_NewBusiness,Lead_Source_A,Lead_Source_B,Lead_Source_C,Lead_Source_CDS,Lead_Source_D,Lead_Source_E,Lead_Source_M,Lead_Source_N,Lead_Source_O,Lead_Source_P,Lead_Source_SWR,Lead_Source_T,Lead_Source_TFA,Lead_Source_U,Lead_Source_V,Lead_Source_W,Lead_Source_X,Lead_Source_XA,Lead_Source_Y,Lead_Source_nan,Banding_Inside Sales,Banding_Mid Market,Banding_National,Banding_SME,Banding_Unassigned,Banding_X,Banding_nan,Billing_Cycle_AND,Billing_Cycle_BCC,Billing_Cycle_BME,Billing_Cycle_BMP,Billing_Cycle_BMS,Billing_Cycle_CNS,Billing_Cycle_COD,Billing_Cycle_COM,Billing_Cycle_D5O,Billing_Cycle_DEC,Billing_Cycle_DEO,Billing_Cycle_ENG,Billing_Cycle_M0O,Billing_Cycle_M11,Billing_Cycle_M12,Billing_Cycle_M14,Billing_Cycle_M15,Billing_Cycle_M1E,Billing_Cycle_M1O,Billing_Cycle_M2G,Billing_Cycle_M2O,Billing_Cycle_M3E,Billing_Cycle_M3O,Billing_Cycle_M3S,Billing_Cycle_M4E,Billing_Cycle_M4O,Billing_Cycle_M5E,Billing_Cycle_M5H,Billing_Cycle_M5O,Billing_Cycle_M5S,Billing_Cycle_M6O,Billing_Cycle_M7E,Billing_Cycle_M7S,Billing_Cycle_M8E,Billing_Cycle_M8S,Billing_Cycle_M9E,Billing_Cycle_M9O,Billing_Cycle_MAO,Billing_Cycle_MBO,Billing_Cycle_MCE,Billing_Cycle_MCN,Billing_Cycle_MCO,Billing_Cycle_MDO,Billing_Cycle_ME2,Billing_Cycle_ME3,Billing_Cycle_MEB,Billing_Cycle_MEC,Billing_Cycle_MEG,Billing_Cycle_MEI,Billing_Cycle_MEK,Billing_Cycle_MEN,Billing_Cycle_MEO,Billing_Cycle_MEW,Billing_Cycle_MEY,Billing_Cycle_MKA,Billing_Cycle_MMA,Billing_Cycle_MNK,Billing_Cycle_MNM,Billing_Cycle_MNW,Billing_Cycle_MOO,Billing_Cycle_MPS,Billing_Cycle_MRO,Billing_Cycle_MSE,Billing_Cycle_MSG,Billing_Cycle_MSI,Billing_Cycle_MSO,Billing_Cycle_MSP,Billing_Cycle_MSW,Billing_Cycle_MTO,Billing_Cycle_MUN,Billing_Cycle_MWE,Billing_Cycle_MWO,Billing_Cycle_MWS,Billing_Cycle_NBI,Billing_Cycle_NN8,Billing_Cycle_NNH,Billing_Cycle_NNL,Billing_Cycle_PNE,Billing_Cycle_PNN,Billing_Cycle_PNQ,Billing_Cycle_PNR,Billing_Cycle_PNT,Billing_Cycle_PNV,Billing_Cycle_RNA,Billing_Cycle_RNE,Billing_Cycle_RNF,Billing_Cycle_RNJ,Billing_Cycle_RNL,Billing_Cycle_RNM,Billing_Cycle_RNN,Billing_Cycle_RNQ,Billing_Cycle_RNR,Billing_Cycle_S21,Billing_Cycle_SN8,Billing_Cycle_SNE,Billing_Cycle_TNM,Billing_Cycle_TNS,Billing_Cycle_W11,Billing_Cycle_W1O,Billing_Cycle_W2O,Billing_Cycle_W5E,Billing_Cycle_W6O,Billing_Cycle_W7O,Billing_Cycle_WCA,Billing_Cycle_WCC,Billing_Cycle_WE2,Billing_Cycle_WE4,Billing_Cycle_WEB,Billing_Cycle_WEC,Billing_Cycle_WEO,Billing_Cycle_WME,Billing_Cycle_WMP,Billing_Cycle_WMS,Billing_Cycle_WNI,Billing_Cycle_WNQ,Billing_Cycle_WS1,Billing_Cycle_nan,Billing_Address_State_ACT,Billing_Address_State_NSW,Billing_Address_State_NT,Billing_Address_State_QLD,Billing_Address_State_SA,Billing_Address_State_TAS,Billing_Address_State_VIC,Billing_Address_State_WA,Billing_Address_State_nan,Account_Status_A,Account_Status_C,Account_Status_D,Account_Status_I,Account_Status_L,Account_Status_S,Account_Status_U,Account_Status_Z,Account_Status_nan,Account_Type_A,Account_Type_B,Account_Type_C,Account_Type_D,Account_Type_INP,Account_Type_INT,Account_Type_ITB,Account_Type_LAN,Account_Type_MUD,Account_Type_MUN,Account_Type_RCT,Account_Type_ST,Account_Type_T,Account_Type_nan,Sub_Banding_Inside Sales,Sub_Banding_Mid Market,Sub_Banding_National,Sub_Banding_SME,Sub_Banding_TFA,Sub_Banding_Unassigned,Sub_Banding_X,Sub_Banding_nan,Uprate_Category_COMP,Uprate_Category_EXEM,Uprate_Category_F1Y,Uprate_Category_F2Y,Uprate_Category_F3Y,Uprate_Category_GEN,Uprate_Category_KAM,Uprate_Category_LOC,Uprate_Category_NAT,Uprate_Category_RESI,Uprate_Category_SPEC,Uprate_Category_STA,Uprate_Category_U6%,Uprate_Category_nan,ANZSIC_Division_Accommodation and Food Services,ANZSIC_Division_Administrative and Support Services,"ANZSIC_Division_Agriculture, Forestry and Fishing",ANZSIC_Division_Arts and Recreation Services,ANZSIC_Division_Construction,ANZSIC_Division_Education and Training,"ANZSIC_Division_Electricity, Gas, Water and Waste Services",ANZSIC_Division_Financial and Insurance Services,ANZSIC_Division_Health Care and Social Assistance,ANZSIC_Division_Information Media and Telecommunications,ANZSIC_Division_Manufacturing,ANZSIC_Division_Mining,ANZSIC_Division_Other Services,"ANZSIC_Division_Professional, Scientific and Technical Services",ANZSIC_Division_Public Administration and Safety,"ANZSIC_Division_Rental, Hiring and Real Estate Services",ANZSIC_Division_Retail Trade,"ANZSIC_Division_Transport, Postal and Warehousing",ANZSIC_Division_Wholesale Trade,ANZSIC_Division_nan,churn_flag
277,8,8,13.0,1106,100,16.0,6,0.0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,2,1,15,0.46153846153846156,0.2857142857142857,39.52142851693289,138.32499980926514,1.625,85.12307680570163,0.75,2.0,0,0,0,0,30.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
24646,153,153,154.0,1041,1041,2.16,0,665.1999999999999,0,145,0,0,0,0,8,0,0,0,0,0,0,0,0,96,0,0,57,19,21,0.0,5.464285714285714,37.186071404388954,6.805294113221509,1.0065359477124183,6.761103891707083,0.0,0.01411764705882353,1,1,1,1,14.0,1,0,0,1.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
36252,61,61,104.0,1845,1845,48.400000000000006,0,0.0,0,39,0,0,0,0,22,0,0,0,43,0,43,0,0,43,0,0,18,5,35,0.0,2.1785714285714284,65.89571305683681,30.247212550679194,1.7049180327868851,17.74115351530222,0.0,0.7934426229508198,0,1,0,1,14.0,1,0,0,0.0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
47264,238,238,261.97,27291,27291,330.0,48100,18217.33,0,192,0,0,0,0,23,23,0,166,0,0,166,0,0,166,0,0,72,27,13,183.60881016910332,8.5,974.697506768363,114.67029491392506,1.1007142857142858,104.17807454866649,202.10084033613447,1.3865546218487395,1,1,1,1,14.0,1,0,0,0.0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
59898,50,50,50.0,421,421,13.860000000000001,0,0.0,0,29,0,0,0,0,21,0,0,0,36,0,36,0,0,36,0,0,14,4,36,0.0,1.7857142857142858,15.067142703703485,8.437599914073951,1.0,8.437599914073951,0.0,0.2772,1,1,0,0,14.0,1,0,0,0.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
62090,6,6,6.34,443,443,11.0,1340,0.0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,3,1,37,211.3564668769716,0.21428571428571427,15.843928882053936,73.93833478291837,1.0566666666666666,69.97318749172085,223.33333333333334,1.8333333333333333,0,1,0,1,14.0,1,0,0,0.0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
107317,25,25,16.0,1849,1849,24.0,2160,0.0,0,14,0,0,0,0,4,7,0,0,0,0,0,0,0,21,0,0,4,4,34,135.0,0.8928571428571429,66.05714280264718,73.98399993896484,0.64,115.59999990463257,86.4,0.96,0,0,0,0,30.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
131369,164,164,347.68,16341,16341,150.0,215,0.0,0,106,0,0,0,0,58,0,0,130,0,0,130,0,0,130,0,0,34,16,24,0.6183847215830649,5.857142857142857,583.6310702732632,99.64432907104492,2.12,47.00204201464383,1.3109756097560976,0.9146341463414634,0,1,0,1,30.0,0,0,0,0.0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
155303,134,134,132.0,1808,1808,57.2,0,0.0,0,80,0,0,0,0,54,0,0,0,94,0,49,0,45,94,0,0,40,19,21,0.0,4.785714285714286,64.57321323667257,13.492910228558449,0.9850746268656716,13.697348262324486,0.0,0.42686567164179107,0,1,0,0,30.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
155336,19,19,19.0,188,357,3.5999999999999996,0,214.9,0,4,0,0,0,0,15,0,0,0,0,0,0,0,0,16,0,0,3,7,33,0.0,0.6785714285714286,6.741428783961718,9.934737155312005,1.0,9.934737155312005,0.0,0.1894736842105263,0,0,0,1,30.0,0,0,0,0.0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
